Characters,DateOfCreation,DateOfRef,DateOfBio,Character Status,Adopt?,Date Ref Difference,Date Bio Difference,Art,Digital,Ref,TH,Colour,Age,Height,Species,Gender,Pronouns,Sexuality,Handedness,World,Location,Full Name,Birthday,Image Count (TH),Image Count (Edited),Hair Colour,Eye Colour,Cowlick,Glasses,Colour1,Colour2,Colour3,Law vs Chaos,Good vs Evil
Absinthe,12/05/2019,26/06/2021,23/04/2020,minor,No,776,347,Yes,Yes,Yes,Yes,#822929,???,1.34 m,Doll,Demigirl,she/her,Ace,Right-handed,Ahanaria,Weedzard Mansion,Absinthe,,8,7,Brown,Green,No,No,Red,White,Green,Neutral,Good
Alethra,05/01/2019,12/05/2022,13/03/2021,main,No,1223,798,Yes,Yes,Yes,Yes,#9B3C4F,42 (21),1.72 m,Half-elf,Female,she/her,Bi,Ambidextrous,Ahanaria,Wanderer,Alethra Johanne Joekirr,22-Nov,37,36,Red,Blue,Yes,No,Red,Green,Yellow,Neutral,Evil
Anartise,25/03/2021,25/03/2021,25/03/2021,minor,No,0,0,Yes,Yes,Yes,Yes,#7C1A1F,36,0.23 m,Faefly,Female,she/her,Bi,Right-handed,Ahanaria,Faefly Meadow,Anartise Woodwill,02-Oct,2,1,Red,Blue,No,No,Red,Blue,Black,Lawful,Good
Angelo,07/04/2022,10/11/2023,17/01/2023,minor,No,582,285,Yes,Yes,Yes,Yes,#CB7B3A,25,1.48 m,Angel,Demiboy,he/they,???,Right-handed,Vokais' Demonium,Angelic Skyscrapers,Angelo Lloyd,02-Apr,5,4,White,Brown,No,No,Brown,Orange,Red,Lawful,Neutral
Arin,13/05/2018,03/06/2021,12/07/2021,main,No,1117,1156,Yes,Yes,Yes,Update,#6A53ED,15,1.77 m,Human,Male,he/him,Straight,Right-handed,FW-4443,F. Highschool,Arin Blueberry,10-Aug,41,40,Blond,Purple,No,No,Purple,Green,,Lawful,Good
Arthur,26/07/2022,21/09/2022,22/09/2022,minor,Yes,57,58,Yes,Yes,Yes,Yes,#86659D,25,1.62 m,Fox,Male,he/him,Bi,Right-handed,Venezia Plagued,Giudecca,Arthur Bianchini,,5,4,Brown,Purple,No,No,Purple,Black,,Lawful,Evil
Ashley,20/05/2018,,15/01/2021,minor,No,,971,Yes,No,No,Yes,#D3EE48,15,1.71 m,Human,Female,she/her,Gay,Left-handed,FW-4443,F. Highschool,Ashley Miller,01-Apr,10,10,Brown,Blue,No,No,Rainbow,Green,Blue,Lawful,Neutral
Aubrietta,06/01/2021,29/07/2021,29/07/2021,secondary,No,204,204,Yes,Yes,Yes,Yes,#7657A0,22,1.68 m,Human,Female,she/her,Straight,Right-handed,Ahanaria,Angaar Capital,Aubrietta Fieldwoe,03-Mar,4,3,Purple,Purple,No,No,Purple,Green,Yellow,Lawful,Neutral
Avery,19/02/2020,28/10/2021,20/01/2021,minor,No,617,336,Yes,Yes,Yes,Yes,#7A7983,17?,1.43 m,Vulchild,Nonbinary,they/them,Ace,Ambidextrous,Ahanaria,Weedzard Mansion,Avery,??,7,6,Blond,White,No,No,Grey,Orange,Purple,Neutral,Neutral
Bacchus,05/11/2022,31/01/2023,22/02/2023,antagonist,Yes,87,109,Yes,Yes,Yes,Yes,#228280,34,1.89 m,Human,Male,he/him,Ace,Right-handed,Ahanaria,Tarras,Bacchus Natalle,06-Nov,7,6,Ginger,Turquoise,No,No,Red,White,Orange,Lawful,Evil
